time,gFx,gFy,gFz,TgF
1.146761,0.0517,0.4818,1.0204,1.130
1.163777,-0.0522,0.4342,0.9176,1.016
1.173883,0.0092,0.4645,0.9314,1.041
1.177433,0.0796,0.4451,0.9288,1.033
1.180243,0.0871,0.4403,0.9412,1.043
1.192460,0.0945,0.4379,0.9491,1.049
1.195881,0.0446,0.3931,0.9735,1.051
1.212350,0.0319,0.4160,0.9454,1.033
1.215902,-0.0584,0.4484,0.8545,0.967
1.231958,-0.0855,0.4544,0.8361,0.955
1.244722,-0.1392,0.4039,0.7140,0.832
1.247912,-0.1321,0.3755,0.6681,0.778
1.261296,-0.1309,0.3762,0.6683,0.778
1.264769,-0.1908,0.4149,0.6151,0.766
1.277651,-0.2220,0.4295,0.6097,0.778
1.281625,-0.2981,0.4620,0.6016,0.815
1.295917,-0.3083,0.4633,0.6011,0.819
1.311072,-0.3330,0.4593,0.6505,0.863
1.326611,-0.3288,0.4871,0.6614,0.885
1.330830,-0.2804,0.5683,0.6868,0.935
1.343365,-0.2723,0.5721,0.7099,0.952
1.347910,-0.2017,0.5588,0.8913,1.071
1.362873,-0.1973,0.5527,0.9395,1.108
1.378102,-0.3256,0.4288,1.0749,1.202
1.394646,-0.4055,0.4127,1.1608,1.297
1.411103,-0.3030,0.4757,1.0226,1.168
1.427287,-0.3249,0.4852,0.9055,1.077
1.440786,-0.4236,0.3980,0.8887,1.062
1.445595,-0.5511,0.4163,0.9730,1.193
1.459107,-0.5966,0.3850,1.0213,1.244
1.462725,-0.8343,0.5141,1.0947,1.469
1.476596,-0.8382,0.5336,1.0973,1.480
1.480049,-0.6256,0.6284,1.0597,1.382
1.494051,-0.6014,0.6149,1.0140,1.330
1.510996,-0.6557,0.4959,0.9879,1.285
1.525954,-0.6811,0.4803,0.8508,1.191
1.530107,-0.7573,0.3657,0.7169,1.105
1.543180,-0.7600,0.3623,0.6942,1.091
1.558345,-0.6782,0.3806,0.6026,0.984
1.561089,-0.6403,0.3562,0.4909,0.882
1.577763,-0.6313,0.3462,0.4904,0.871
1.580719,-0.5956,0.2981,0.5694,0.876
1.593568,-0.5853,0.2893,0.5820,0.875
1.609212,-0.5487,0.2560,0.6199,0.867
1.612640,-0.5031,0.2663,0.5731,0.808
1.626815,-0.5035,0.2658,0.5547,0.795
1.642164,-0.4676,0.2905,0.5005,0.744
1.644794,-0.3985,0.3440,0.4187,0.673
1.660535,-0.3657,0.3685,0.3956,0.653
1.676346,-0.2574,0.4689,0.4003,0.668
1.691757,-0.2604,0.5409,0.4320,0.740
1.696251,-0.2753,0.4847,0.3334,0.650
1.712759,-0.3135,0.4530,0.3323,0.643
1.726181,-0.5404,0.3667,0.4788,0.810
1.742099,-0.5763,0.2737,0.5771,0.860
1.744935,-0.6391,0.1798,0.6977,0.963
1.758661,-0.6531,0.1624,0.7208,0.986
1.761718,-0.6780,0.1302,0.8772,1.116
1.775570,-0.6757,0.1349,0.9023,1.135
1.791127,-0.7943,0.1784,0.9134,1.223
1.808200,-0.7906,0.1798,0.9353,1.238
1.826372,-0.7507,0.2031,0.9405,1.220
1.842034,-0.6872,0.2712,0.8787,1.148
1.855673,-0.5580,0.2678,0.8393,1.043
1.859096,-0.5096,0.2497,0.8902,1.056
1.873753,-0.5052,0.2416,0.9165,1.074
1.877082,-0.5015,0.2236,1.0169,1.156
1.890968,-0.4991,0.2213,1.0519,1.185
1.893954,-0.4889,0.2507,1.1179,1.246
1.906863,-0.4926,0.2465,1.1135,1.242
1.911114,-0.4715,0.2304,1.0275,1.154
1.927175,-0.4612,0.2299,1.0120,1.136
1.938689,-0.3655,0.2551,1.0362,1.128
1.941616,-0.2497,0.2890,1.1098,1.174
1.961442,-0.2094,0.2958,1.1780,1.232
1.973967,-0.1172,0.2873,1.2801,1.317
1.991759,-0.1195,0.2204,1.3253,1.349
2.005970,-0.2480,0.1027,1.2943,1.322
2.022937,-0.4050,0.1446,1.2887,1.359
2.026128,-0.4192,0.0599,1.0851,1.165
2.039765,-0.3985,0.0599,1.0467,1.122
2.054580,-0.4688,0.1444,0.9219,1.044
2.057905,-0.5389,0.0501,0.8454,1.004
2.076043,-0.5475,0.0386,0.8168,0.984
2.088692,-0.6990,0.0310,0.8063,1.068
2.105736,-0.7512,0.0865,0.6715,1.011
2.108540,-0.6894,0.1268,0.5990,0.922
2.121884,-0.6755,0.1498,0.5955,0.913
2.136690,-0.6794,0.0671,0.4709,0.829
2.157328,-0.5672,-0.0715,0.3121,0.651
2.171526,-0.4234,-0.0959,0.3478,0.556
2.174273,-0.2597,0.0271,0.4301,0.503
2.184843,-0.2287,0.0430,0.4429,0.500
2.187618,-0.1141,0.0894,0.4318,0.456
2.190263,-0.0920,0.0946,0.4411,0.460
2.208426,-0.0654,0.1053,0.4492,0.466
2.220318,0.1668,0.2229,0.5508,0.617
2.223224,0.3346,0.3860,0.7267,0.888
2.239983,0.3671,0.4114,0.7376,0.921
2.256738,0.3165,0.5353,0.7888,1.004
2.271537,1.7250,0.8775,1.7028,2.578
2.287341,0.7786,0.8537,1.9512,2.268
2.291005,0.0395,0.6992,2.2393,2.346
2.305587,0.1844,0.6350,2.3677,2.458
2.321371,-0.4917,0.2634,1.3981,1.505
2.336933,-0.5264,0.2128,1.1582,1.290
2.340750,-0.6059,0.3215,1.4254,1.582
2.354867,-0.6655,0.3277,1.4130,1.596
2.370827,-0.5276,0.3916,1.2940,1.451
2.373465,-0.3225,0.2646,1.0275,1.109
2.387560,-0.3305,0.2465,1.0382,1.117
2.405621,-0.1583,0.2126,1.0321,1.066
2.420908,-0.1223,0.2485,1.0597,1.095
2.423465,-0.0295,0.2047,1.0509,1.071
2.438375,-0.0088,0.1896,1.0583,1.075
2.452931,0.1324,0.0664,0.9766,0.988
2.456337,0.3710,0.0776,0.8775,0.956
2.471994,0.4211,0.0533,0.8694,0.967
