time,gFx,gFy,gFz,TgF
1.738090,0.3605,0.2888,-0.3161,0.560
1.753557,0.3791,0.2807,-0.3401,0.582
1.768116,0.5086,0.2374,-0.4244,0.704
1.771117,0.5818,0.1752,-0.4291,0.744
1.785537,0.5848,0.1664,-0.4230,0.741
1.803083,0.5276,0.0813,-0.3851,0.658
1.822607,0.3498,-0.0021,-0.3550,0.498
1.836480,0.0752,-0.0116,-0.4315,0.438
1.854187,-0.2345,0.1877,-0.5739,0.648
1.867588,-0.8094,0.3389,-0.7263,1.139
1.883828,-1.8316,0.4391,-0.2563,1.901
1.901340,-2.3859,0.6254,0.6239,2.544
1.917058,-2.2193,0.8478,1.2657,2.692
1.935647,-1.7465,1.0417,1.5041,2.529
1.951199,-1.3170,1.1957,1.4098,2.270
1.968320,-1.0176,1.2704,1.2427,2.048
1.982883,-0.8480,1.2856,1.1613,1.929
2.000098,-0.8380,1.2167,1.0394,1.806
2.016980,-0.8123,1.0924,0.7844,1.571
2.033108,-0.6379,1.0032,0.5586,1.313
2.037108,-0.4630,0.9431,0.3810,1.118
2.051105,-0.4407,0.9340,0.3605,1.094
2.068301,-0.4046,0.8714,0.2764,1.000
2.084794,-0.4490,0.8116,0.2838,0.970
2.100425,-0.4275,0.7676,0.3551,0.948
2.103007,-0.3577,0.6972,0.4567,0.907
2.118583,-0.3417,0.6855,0.4748,0.901
2.138199,-0.2189,0.6489,0.5366,0.870
2.160013,-0.0449,0.5963,0.5317,0.800
2.173677,0.1015,0.5120,0.4670,0.700
2.188120,0.1786,0.4454,0.3832,0.614
2.201407,0.2230,0.4058,0.2896,0.546
2.214562,0.2137,0.3555,0.1706,0.449
2.218102,0.2213,0.3420,0.0781,0.415
2.232215,0.2291,0.3433,0.0661,0.418
2.236198,0.2574,0.3804,0.0282,0.460
2.252390,0.2667,0.3899,0.0174,0.473
2.266501,0.2040,0.4684,-0.0081,0.511
2.284089,-0.0251,0.5453,0.0243,0.546
2.296604,-0.3063,0.6433,0.1494,0.728
2.300914,-0.5218,0.7072,0.3060,0.931
2.314059,-0.5583,0.7205,0.3378,0.972
2.316865,-0.8031,0.7496,0.4521,1.188
2.333317,-0.8402,0.7491,0.4692,1.220
2.336388,-1.0806,0.7537,0.5244,1.418
2.351087,-1.1500,0.7524,0.5205,1.470
2.366299,-1.3130,0.7234,0.4814,1.574
2.380527,-1.2448,0.7107,0.4604,1.506
2.392710,-0.9181,0.7537,0.4895,1.285
2.414599,-0.7053,0.7740,0.4963,1.159
2.439194,-0.5013,0.8113,0.4028,1.035
2.453406,-0.5131,0.8109,0.1823,0.977
