time,gFx,gFy,gFz,TgF
1.041206,-1.0163,0.3210,0.5083,1.181
1.044865,-0.9941,0.3841,0.3707,1.128
1.057207,-0.9955,0.3951,0.3351,1.122
1.060804,-1.0432,0.4798,0.0947,1.152
1.070982,-1.0573,0.4935,0.0500,1.168
1.075205,-1.1495,0.5478,-0.1673,1.284
1.078324,-1.1688,0.5532,-0.2190,1.311
1.093162,-1.1854,0.5602,-0.2668,1.338
1.106094,-1.2565,0.6303,-0.4967,1.491
1.111485,-1.2912,0.7151,-0.5732,1.583
1.123968,-1.3000,0.7291,-0.5798,1.599
1.139121,-1.3076,0.8514,-0.5840,1.666
1.147650,-1.2606,0.9623,-0.6108,1.700
1.159379,-1.2299,1.0498,-0.6252,1.734
1.168209,-1.3327,1.0412,-0.5578,1.781
1.170760,-1.4817,0.9655,-0.4356,1.821
1.175969,-1.5641,0.9343,-0.3672,1.859
1.189066,-1.6024,0.9169,-0.3380,1.877
1.192990,-1.7351,0.8094,-0.1962,1.925
1.204711,-1.7439,0.7889,-0.1661,1.921
1.208948,-1.7034,0.6936,-0.0389,1.840
1.221405,-1.6926,0.6738,-0.0296,1.822
1.224579,-1.6452,0.5365,-0.0320,1.731
1.235575,-1.6149,0.4673,-0.0469,1.682
1.238909,-1.5162,0.3171,-0.1178,1.554
1.242556,-1.4346,0.2423,-0.1537,1.463
1.253800,-1.3862,0.2025,-0.1728,1.412
1.258485,-1.0779,0.0289,-0.2016,1.097
1.270202,-0.9536,-0.0146,-0.1779,0.970
1.274514,-0.7346,-0.0468,0.0050,0.736
1.289536,-0.6867,-0.0302,0.1017,0.695
1.294043,-0.6608,0.0559,0.3935,0.771
1.309922,-0.6594,0.0669,0.4350,0.793
1.322327,-0.6438,0.1532,0.6409,0.921
1.326426,-0.4823,0.2758,0.8035,0.977
1.340503,-0.4581,0.3068,0.8369,1.002
1.343521,-0.4141,0.4928,1.0795,1.257
1.357201,-0.4160,0.5162,1.1171,1.299
1.360848,-0.4474,0.5786,1.2190,1.422
1.374462,-0.4603,0.5766,1.2212,1.427
1.389218,-0.5677,0.5856,1.2039,1.454
1.393015,-0.6166,0.5968,1.0954,1.392
1.405621,-0.6115,0.5944,1.0734,1.371
1.409584,-0.5169,0.5756,0.9691,1.240
1.420996,-0.4964,0.5730,0.9556,1.220
1.424933,-0.3554,0.5597,0.8958,1.114
1.439440,-0.3300,0.5541,0.8887,1.098
1.456675,-0.2215,0.4630,0.8603,1.002
1.472638,-0.1593,0.3489,0.7986,0.886
1.489167,-0.0715,0.2861,0.7262,0.784
1.492281,0.0241,0.2595,0.6493,0.700
1.507270,0.0344,0.2551,0.6409,0.691
1.521120,0.0673,0.2280,0.6029,0.648
1.540403,0.0632,0.1940,0.5918,0.626
1.543350,0.0635,0.1703,0.6041,0.631
1.555088,0.0712,0.1681,0.6001,0.627
1.571386,0.1394,0.1681,0.5918,0.631
1.574900,0.2396,0.1845,0.5904,0.663
1.587223,0.2729,0.1976,0.5855,0.676
1.590553,0.3444,0.2367,0.6070,0.737
1.603162,0.3537,0.2429,0.6190,0.753
1.621888,0.3515,0.2753,0.7120,0.840
1.626262,0.3268,0.2873,0.7983,0.909
1.640248,0.3283,0.2905,0.7970,0.910
1.654500,0.3124,0.3254,0.8310,0.946
1.669163,0.3330,0.4237,0.9424,1.086
1.673236,0.3669,0.5096,1.1164,1.281
1.690239,0.3577,0.5209,1.1574,1.319
1.703436,0.3176,0.5910,1.3793,1.534
1.718534,0.3530,0.6883,1.6956,1.864
1.722094,0.3901,0.7503,1.8571,2.041
1.737977,0.4052,0.7652,1.8626,2.054
1.752424,0.3735,0.7608,1.8242,2.011
1.770514,0.2105,0.6860,1.5051,1.667
1.786085,0.0219,0.5502,1.2773,1.391
1.789627,-0.0454,0.4060,1.0567,1.133
1.801103,-0.0239,0.3872,1.0248,1.096
1.805530,0.0786,0.3168,0.9132,0.970
1.820466,0.1006,0.3030,0.8838,0.940
1.823277,0.2227,0.2365,0.7125,0.783
1.836802,0.2587,0.2265,0.6893,0.770
1.853573,0.5045,0.1808,0.6961,0.879
1.869762,0.6178,0.1722,0.6926,0.944
1.882142,0.5872,0.1109,0.6740,0.901
1.886446,0.4868,0.0862,0.6481,0.815
1.907226,0.4609,0.0823,0.6432,0.796
1.918619,0.1868,0.0420,0.5256,0.559
1.921477,0.0854,0.0430,0.4562,0.466
1.933396,0.0815,0.0557,0.4280,0.439
1.937150,0.0943,0.1212,0.3698,0.400
1.953749,0.0954,0.1386,0.3668,0.404
1.969320,0.0559,0.3105,0.4026,0.511
1.986142,-0.2372,0.5050,0.4723,0.731
1.990577,-1.0097,0.5595,0.4477,1.238
2.005273,-1.1429,0.5509,0.4389,1.342
2.019386,-1.8553,0.4803,0.4799,1.976
2.022094,-2.1274,0.5316,0.5596,2.263
2.034543,-2.1255,0.5568,0.5723,2.271
2.050256,-1.9061,0.7210,0.6036,2.125
2.053373,-1.5797,0.7584,0.4638,1.813
2.067154,-1.5292,0.7481,0.4257,1.755
2.085643,-1.3342,0.5756,0.1289,1.459
2.102386,-1.2975,0.4439,-0.2595,1.396
2.119185,-1.2264,0.3978,-0.4142,1.354
2.122365,-1.0237,0.3967,-0.5930,1.248
2.138902,-0.9853,0.3946,-0.6110,1.225
2.151355,-0.7466,0.4095,-0.6387,1.064
2.162161,-0.5436,0.4388,-0.5998,0.921
2.183197,-0.4737,0.4603,-0.5537,0.862
2.197214,-0.5399,0.4544,-0.5493,0.894
2.207867,-0.6559,0.4376,-0.5891,0.984
2.225414,-0.7481,0.4065,-0.6284,1.058
2.238643,-0.6921,0.4185,-0.5952,1.004
2.260678,-0.5753,0.4789,-0.5654,0.938
2.273137,-0.6007,0.5387,-0.5625,0.984
2.290757,-0.6254,0.5702,-0.6079,1.042
2.302341,-0.7466,0.5898,-0.5607,1.104
2.315000,-0.8702,0.6457,-0.4710,1.182
2.333656,-1.1169,0.7715,-0.3963,1.414
2.349270,-1.3505,0.8483,-0.4261,1.651
2.352488,-1.4828,1.0186,-0.4571,1.856
2.365142,-1.5020,1.0526,-0.4554,1.890
2.369322,-1.6635,1.1922,-0.5532,2.120
2.382689,-1.7111,1.2094,-0.5576,2.168
2.385304,-2.0107,1.2077,-0.7237,2.455
2.398513,-2.0458,1.1903,-0.7696,2.489
2.402530,-2.1514,1.0086,-0.9825,2.571
2.417602,-2.1439,0.9753,-1.0091,2.562
2.432003,-1.8597,0.7158,-1.0281,2.242
2.436029,-1.4400,0.4537,-0.8090,1.713
2.452116,-1.3596,0.4178,-0.7671,1.616
2.466851,-0.9063,0.2560,-0.4926,1.063
2.483049,-0.6281,0.0850,-0.2243,0.672
2.498588,-0.4468,-0.0013,-0.1307,0.466
2.515976,-0.2015,-0.0563,-0.0538,0.216
2.530271,0.0146,0.0643,0.0362,0.075
2.533490,0.1343,0.2031,0.0572,0.250
2.549206,0.1418,0.2201,0.0527,0.267
2.563800,0.0845,0.2849,-0.0585,0.303
2.567581,-0.1285,0.3137,-0.1931,0.390
2.582509,-0.1637,0.3181,-0.2216,0.421
2.598060,-0.3569,0.3885,-0.3734,0.646
2.615349,-0.4486,0.6035,-0.4571,0.880
2.631883,-0.8136,0.9985,-0.4137,1.353
2.634573,-1.4192,1.1219,-0.2625,1.828
2.648134,-1.5152,1.1239,-0.2380,1.901
2.664705,-1.9725,1.0752,0.0370,2.247
2.668352,-2.1551,0.9623,0.6864,2.458
2.683761,-2.1485,0.9513,0.7954,2.481
2.696502,-1.8861,0.9166,1.3790,2.510
2.700441,-1.5431,0.8617,1.5100,2.325
2.715579,-1.4735,0.8407,1.5132,2.273
2.733175,-1.1131,0.7156,1.4778,1.984
2.746369,-0.7661,0.5216,1.1726,1.495
2.765222,-0.6476,0.4097,0.9720,1.238
2.781134,-0.5609,0.3003,0.7658,0.996
2.796957,-0.4316,0.1994,0.6055,0.770
2.799796,-0.2772,0.1241,0.5391,0.619
2.814123,-0.2475,0.1132,0.5368,0.602
2.829340,-0.0379,0.0552,0.5601,0.564
2.832609,0.0991,0.0386,0.6400,0.649
2.853648,0.1115,0.0369,0.6554,0.666
2.872842,0.1793,0.0335,0.7523,0.774
2.888653,0.1824,0.0391,0.7956,0.817
2.902942,0.1821,0.0769,0.8149,0.839
2.917390,0.1578,0.1027,0.8366,0.858
2.928466,0.1734,0.0833,0.8633,0.884
2.944120,0.2164,0.0757,0.9305,0.958
2.962802,0.3363,0.1246,1.1254,1.181
2.979400,0.4448,0.1735,1.1860,1.279
2.982416,0.4719,0.2052,1.2032,1.309
2.996575,0.4737,0.2077,1.2046,1.311
3.013722,0.4282,0.2282,1.1895,1.285
3.026815,0.4116,0.2868,1.2617,1.358
3.044286,0.3959,0.3733,1.3776,1.481
3.060869,0.3319,0.4517,1.5745,1.671
3.079308,0.2780,0.5167,1.7140,1.812
3.098166,0.2426,0.5302,1.8364,1.927
3.111666,0.1814,0.4959,1.8122,1.888
3.114259,0.1226,0.4163,1.7049,1.759
3.128512,0.1115,0.4019,1.6795,1.731
3.143847,0.0982,0.2492,1.4418,1.466
3.163277,0.1548,0.1204,1.1582,1.175
3.179681,0.2680,0.0582,0.9319,0.971
3.199396,0.3745,0.0266,0.7329,0.823
3.212867,0.4145,0.0396,0.6409,0.764
3.227359,0.3368,0.0464,0.5645,0.659
3.242893,0.3141,0.0044,0.4929,0.584
3.257233,0.3225,0.0333,0.4166,0.528
3.261013,0.3519,0.0785,0.3290,0.488
3.273863,0.3647,0.0890,0.3336,0.502
3.278920,0.3715,0.1810,0.2952,0.508
3.298547,0.3586,0.1996,0.2943,0.505
3.312356,-0.0024,0.3391,0.3258,0.470
3.326225,-0.4087,0.3813,0.2710,0.621
3.343184,-1.1392,0.3462,0.0686,1.193
3.363416,-1.3114,0.4060,-0.2977,1.405
3.376720,-1.0766,0.5976,-0.7349,1.434
3.394720,-0.8567,0.7581,-0.8635,1.433
3.411419,-0.8365,0.8167,-0.8400,1.440
3.424702,-1.0515,0.7198,-0.6138,1.414
3.429532,-1.1006,0.6482,-0.3821,1.333
3.445389,-1.0964,0.6424,-0.3394,1.315
3.459215,-1.0875,0.6382,-0.1312,1.268
3.476445,-1.0439,0.6326,-0.0655,1.222
3.493937,-0.9608,0.6089,-0.1283,1.145
3.511279,-0.8688,0.6210,-0.1996,1.086
3.525979,-0.7559,0.6406,-0.2678,1.026
3.541687,-0.7232,0.6331,-0.3369,1.018
3.558828,-0.7127,0.5979,-0.4056,1.015
3.574128,-0.6476,0.5937,-0.4489,0.987
3.578419,-0.5802,0.6040,-0.4752,0.963
3.592515,-0.5685,0.6028,-0.4731,0.954
3.610625,-0.5177,0.5963,-0.4706,0.919
3.628821,-0.5372,0.6101,-0.4628,0.935
3.641132,-0.6215,0.6279,-0.4244,0.980
3.656593,-0.7244,0.6988,-0.4179,1.090
3.674123,-0.8702,0.8104,-0.4689,1.278
3.677250,-1.0442,0.9057,-0.6077,1.510
3.691857,-1.0701,0.9174,-0.6296,1.544
3.694363,-1.3317,0.9902,-0.7691,1.829
3.708226,-1.3689,0.9975,-0.7962,1.872
3.723883,-1.5357,1.0474,-0.9511,2.088
3.739926,-1.6503,1.0711,-1.1048,2.256
3.756455,-1.6736,1.0237,-1.2206,2.311
3.759331,-1.5958,0.9066,-1.2018,2.194
3.775186,-1.5767,0.8807,-1.1766,2.156
3.777759,-1.4209,0.6939,-0.9692,1.855
3.792144,-1.3522,0.6308,-0.8876,1.736
3.811273,-1.1008,0.4717,-0.6277,1.352
3.824406,-0.8616,0.3650,-0.2891,0.979
3.840190,-0.7556,0.3252,-0.0315,0.823
3.858027,-0.7178,0.3254,0.0432,0.789
3.872144,-0.7085,0.3247,-0.0494,0.781
3.887768,-0.5937,0.2993,-0.2299,0.703
3.892020,-0.4446,0.2846,-0.3682,0.644
3.908814,-0.4263,0.2886,-0.3872,0.644
3.921679,-0.3333,0.3389,-0.4163,0.632
3.925698,-0.3284,0.3806,-0.3655,0.622
3.940535,-0.3335,0.3841,-0.3525,0.619
3.956698,-0.3645,0.4603,-0.2868,0.653
3.972174,-0.4011,0.5966,-0.0899,0.725
3.976359,-0.5304,0.7452,0.1924,0.935
3.991606,-0.5646,0.7725,0.2449,0.988
4.005016,-0.8463,0.9033,0.5733,1.364
4.008378,-1.1248,0.9604,0.8210,1.692
4.025193,-1.1661,0.9646,0.8503,1.736
4.039186,-1.2948,0.9289,0.9241,1.842
4.055010,-1.1199,0.8077,0.7965,1.594
4.075329,-0.7342,0.7303,0.7401,1.273
4.090338,-0.3471,0.7430,0.8845,1.206
4.103028,-0.2614,0.7498,0.9926,1.271
4.106096,-0.2313,0.7415,1.0800,1.330
4.130309,-0.2320,0.7430,1.0846,1.335
4.145394,-0.2247,0.6846,1.0732,1.293
4.160992,-0.1055,0.6592,1.0269,1.225
4.175567,0.0244,0.6093,0.8769,1.068
4.190623,0.1257,0.5612,0.7888,0.976
4.201286,0.1839,0.5185,0.7038,0.893
4.214515,0.2049,0.4733,0.6698,0.845
4.238621,0.2571,0.4405,0.6483,0.825
4.261894,0.3176,0.4039,0.6029,0.792
4.285568,0.3127,0.3345,0.5344,0.704
4.299777,0.3139,0.2632,0.4594,0.615
4.318958,0.3517,0.2362,0.4255,0.600
4.338274,0.4463,0.1938,0.3888,0.623
4.354477,0.5648,0.1849,0.3940,0.713
4.373515,0.6564,0.1635,0.4201,0.796
4.387822,0.7744,0.1551,0.4939,0.931
4.402593,0.8941,0.1607,0.5962,1.087
4.405406,1.0349,0.2106,0.6815,1.257
4.423303,1.0579,0.2167,0.6917,1.282
4.437879,1.1770,0.2392,0.7604,1.422
4.456786,1.2088,0.2516,0.9351,1.549
4.471316,1.1329,0.2986,1.0995,1.607
4.486207,0.9368,0.3352,1.2119,1.568
4.504228,0.5783,0.3225,1.2742,1.436
4.519031,0.2787,0.3482,1.2757,1.351
4.536751,0.0668,0.3709,1.2859,1.340
4.553318,-0.0615,0.3762,1.2605,1.317
4.555844,-0.0850,0.4181,1.1753,1.250
4.569249,-0.0801,0.4281,1.1592,1.238
4.571936,-0.0061,0.4850,1.0411,1.149
4.588379,0.0072,0.4933,1.0157,1.129
4.602724,0.1180,0.5395,0.8733,1.033
4.621255,0.1751,0.5421,0.7074,0.908
4.637943,0.1595,0.5423,0.4941,0.751
4.654319,0.1448,0.6079,0.3013,0.694
4.671395,0.1627,0.7396,0.2029,0.784
4.686617,0.1741,0.9071,0.2124,0.948
4.701762,0.0903,1.1034,0.2130,1.127
4.719833,-0.3428,1.1165,0.0993,1.172
4.735080,-0.5756,1.1378,0.1702,1.286
4.751331,-0.4864,1.1630,0.4311,1.332
4.754180,-0.3461,1.1309,0.7575,1.404
4.770055,-0.3183,1.1239,0.8012,1.416
4.786551,-0.2010,1.0687,0.9989,1.477
4.803089,-0.2462,0.9660,1.0140,1.422
4.819532,-0.3659,0.7823,0.8785,1.232
4.835278,-0.3520,0.6785,0.7469,1.069
4.850343,-0.2585,0.6362,0.5967,0.910
4.868622,-0.1524,0.5928,0.3727,0.717
4.886702,-0.0247,0.5162,0.0458,0.519
4.903401,0.0796,0.5597,-0.1654,0.589
4.921806,0.1693,0.6511,-0.1745,0.695
4.942299,0.1211,0.7121,-0.2327,0.759
4.958857,0.0615,0.7295,-0.5763,0.932
4.976038,-0.0235,0.6897,-0.7454,1.016
4.993636,0.0216,0.7183,-0.7310,1.025
5.009288,0.7275,1.1146,-0.5155,1.427
5.026627,1.2680,1.4630,0.2016,1.946
5.043746,1.5699,1.7766,1.8985,3.037
5.060234,1.0754,1.8595,3.6995,4.278
5.075375,0.1380,1.4241,4.0774,4.321
