time,gFx,gFy,gFz,TgF
1.130182,-0.1292,0.2038,0.9717,1.001
1.141014,-0.1327,0.1987,0.9188,0.949
1.143516,-0.1116,0.1952,0.7062,0.741
1.161401,-0.1033,0.2011,0.6727,0.710
1.175913,-0.0214,0.3704,0.5571,0.669
1.178627,0.0180,0.4899,0.6837,0.841
1.191373,0.0321,0.4969,0.7064,0.864
1.195878,0.1180,0.6105,0.6236,0.881
1.209716,0.1416,0.6318,0.6319,0.905
1.224933,0.2135,0.6401,0.8208,1.063
1.229592,0.1353,0.5976,1.0927,1.253
1.243374,0.1367,0.6149,1.1787,1.336
1.258806,0.0525,0.6574,1.0678,1.255
1.275262,-0.0268,0.6433,1.0418,1.225
1.278153,0.1653,0.8847,1.6336,1.865
1.291721,0.1839,0.8881,1.7108,1.936
1.295813,0.0053,0.6487,1.8296,1.941
1.311331,-0.0449,0.5870,1.8486,1.940
1.324488,-0.2267,0.3892,2.0152,2.065
1.341002,-0.4517,0.3237,2.1535,2.224
1.356950,-0.4852,0.2817,2.0885,2.163
1.360377,-0.3501,0.2681,1.6744,1.731
1.376494,-0.3021,0.2749,1.4876,1.543
1.391311,-0.1976,0.3366,1.0676,1.137
1.394634,-0.2152,0.3672,0.6805,0.803
1.408409,-0.2177,0.3692,0.6519,0.780
1.411032,-0.2516,0.3418,0.4291,0.604
1.425915,-0.2457,0.3431,0.3959,0.579
1.428619,-0.1532,0.3787,0.2945,0.504
1.441626,-0.1367,0.3892,0.2813,0.499
1.444824,-0.0371,0.4654,0.1921,0.505
1.458339,-0.0235,0.4740,0.1846,0.509
1.473398,0.0312,0.5013,0.0724,0.507
1.477084,-0.0161,0.5341,-0.0103,0.534
1.490905,-0.0151,0.5583,-0.0061,0.558
1.493546,-0.1045,0.6401,0.2205,0.685
1.508586,-0.1307,0.6480,0.2569,0.709
1.524100,-0.3598,0.5781,0.4672,0.826
1.539351,-0.6205,0.5318,0.5081,0.962
1.542393,-0.7361,0.5290,0.4284,1.003
1.555942,-0.7400,0.5269,0.4005,0.993
1.561140,-0.7321,0.5001,0.2554,0.923
1.575243,-0.7076,0.4955,0.2065,0.888
1.591025,-0.5881,0.5306,0.1203,0.801
1.606439,-0.5443,0.5287,0.0563,0.761
1.610041,-0.4982,0.5238,0.0770,0.727
1.623905,-0.4926,0.5246,0.0817,0.724
1.640861,-0.4761,0.4992,0.1504,0.706
1.657382,-0.5177,0.4322,0.3162,0.745
1.672556,-0.5849,0.4060,0.4772,0.857
1.685546,-0.6179,0.4676,0.5918,0.975
1.689908,-0.6584,0.5187,0.5764,1.017
1.703331,-0.6804,0.5292,0.5713,1.034
1.707114,-0.8592,0.5802,0.4541,1.132
1.723662,-0.8883,0.5819,0.4336,1.147
1.726994,-1.0221,0.6098,0.5237,1.300
1.742430,-1.0254,0.6164,0.5538,1.318
1.756437,-0.9713,0.7081,0.7316,1.407
1.774136,-0.9294,0.7524,0.7374,1.405
1.789532,-0.9269,0.7479,0.5547,1.314
1.804573,-1.0170,0.6731,0.4602,1.304
1.821539,-1.1940,0.5893,0.3541,1.378
1.824584,-1.2059,0.5488,0.3634,1.374
1.838105,-1.1940,0.5390,0.3732,1.362
1.841662,-1.0319,0.5358,0.5051,1.268
1.855653,-0.9955,0.5323,0.5315,1.248
1.872740,-0.7510,0.5323,0.6854,1.148
1.886324,-0.5753,0.5441,0.7558,1.095
1.891005,-0.4917,0.5311,0.7159,1.018
1.903286,-0.4857,0.5255,0.6982,1.000
1.916576,-0.4570,0.5175,0.6134,0.924
1.931190,-0.4740,0.5439,0.5589,0.913
1.944468,-0.5676,0.5390,0.5268,0.943
1.954346,-0.6694,0.5453,0.5027,0.999
1.968806,-0.7769,0.5521,0.4218,1.042
1.984762,-0.9228,0.5448,0.3221,1.119
1.987614,-0.9988,0.5532,0.3563,1.196
2.002086,-0.9890,0.5641,0.4152,1.212
2.006551,-0.9147,0.5988,0.6372,1.265
2.018717,-0.8942,0.6093,0.6744,1.275
2.021499,-0.7774,0.6736,0.8882,1.359
2.039594,-0.7422,0.6774,0.9574,1.388
2.052601,-0.6357,0.6888,1.0866,1.435
2.056822,-0.5795,0.7158,1.0961,1.432
2.072055,-0.5732,0.7168,1.0868,1.423
2.087503,-0.5323,0.7205,0.9908,1.336
2.103653,-0.4430,0.6970,0.8070,1.155
2.121034,-0.4136,0.6827,0.6551,1.033
2.139010,-0.3520,0.6345,0.4296,0.843
2.152324,-0.2755,0.6176,0.3693,0.771
2.166662,-0.2531,0.5719,0.4045,0.745
2.186813,-0.3034,0.5106,0.4206,0.728
2.200852,-0.4451,0.4125,0.4042,0.729
2.205574,-0.5763,0.3592,0.4580,0.819
2.220551,-0.5888,0.3562,0.4767,0.837
2.236676,-0.5746,0.3479,0.5631,0.876
2.251006,-0.5236,0.3848,0.5579,0.856
2.254850,-0.4696,0.4370,0.5310,0.833
2.271009,-0.4679,0.4366,0.5263,0.829
2.283520,-0.4534,0.4552,0.4836,0.804
2.286022,-0.5343,0.5043,0.3065,0.796
2.303219,-0.5539,0.5077,0.2787,0.801
2.320014,-0.7405,0.5585,0.1480,0.939
2.336579,-0.8567,0.6171,0.1785,1.071
