0.98;0.05;0.34;-2.9;1.5;0.7
0.98;0.06;0.35;-3.2;2.8;-0.5
0.98;0.06;0.35;-4.2;2.2;0.7
1.01;0.07;0.34;-4.3;2.4;2.1
1.17;0.07;0.39;2.7;112.1;-41.3
0.88;0.18;0.54;-24.9;250.1;-104.1
-0.01;0.19;0.80;-41.1;249.7;-49.7
-0.32;0.12;0.91;-20.5;101.2;-35.3
-0.73;-0.30;1.54;-35.0;-14.5;-31.7
-0.50;-0.02;0.87;-14.7;14.4;-5.1
-0.50;0.01;0.88;-1.2;-9.0;1.3
-0.57;-0.02;0.90;8.1;-48.3;10.3
-0.42;0.17;1.00;7.3;-128.0;44.3
-0.13;0.28;0.93;-1.0;-141.2;50.3
0.23;0.30;0.95;22.0;-152.1;24.8
0.51;0.29;0.84;13.2;-114.9;33.8
0.78;0.23;0.65;6.5;-101.7;31.6
0.91;0.19;0.55;-2.9;-52.4;22.4
0.91;0.14;0.47;-12.8;-45.0;20.4
0.98;0.10;0.38;-11.4;-39.1;16.8
