0.93;0.09;0.45;-3.4;4.4;0.1
0.92;0.07;0.47;-4.1;1.4;0.9
0.95;0.08;0.48;-3.4;2.4;-0.1
0.80;0.15;0.61;-0.0;192.7;-56.7
0.49;0.16;0.77;10.2;205.0;-61.6
-0.08;0.20;0.94;-26.3;143.8;-43.0
-0.03;0.21;0.97;-25.1;100.6;-28.1
-0.35;0.13;0.92;-28.7;79.6;-32.0
-0.46;0.09;0.88;-22.1;44.5;-14.2
-0.57;0.02;0.86;-14.1;22.2;-9.5
-0.50;-0.00;0.85;-1.8;-0.8;0.9
-0.59;-0.03;0.87;6.9;-44.9;15.3
-0.40;0.10;0.98;4.0;-143.0;51.8
-0.03;0.14;0.94;10.1;-147.3;38.7
0.26;0.18;1.00;57.4;-88.6;2.4
0.41;0.27;0.84;31.0;-134.3;39.9
0.73;0.28;0.61;-4.0;-121.1;46.7
0.92;0.13;0.57;-20.6;-78.1;35.1
0.90;0.07;0.47;-12.1;-56.8;23.0
0.98;-0.06;0.52;-13.9;0.6;22.4
