0.98;0.09;0.33;-3.1;2.6;-0.1
1.00;0.09;0.33;-3.9;3.0;-0.7
0.99;0.10;0.33;-4.0;0.8;0.7
1.13;0.09;0.33;-13.4;65.4;-14.3
0.95;0.12;0.47;3.9;106.4;-33.5
0.83;0.24;0.62;-27.3;250.1;-92.2
0.01;0.24;0.87;-35.7;213.0;-58.6
-0.20;0.13;0.92;-31.3;113.8;-38.2
-0.49;-0.04;1.00;-41.3;92.3;-32.1
-0.51;-0.01;0.84;-11.3;23.9;-5.5
-0.55;-0.02;0.87;-2.6;0.3;0.5
-0.54;-0.02;0.89;6.2;-23.3;6.0
-0.45;0.07;0.93;9.0;-100.9;27.9
-0.27;0.15;0.98;23.2;-119.2;41.5
0.05;0.17;0.99;26.1;-146.6;27.7
0.46;0.17;0.87;24.4;-140.3;26.3
0.76;0.15;0.83;17.3;-101.9;35.9
0.96;0.18;0.47;6.9;-97.7;21.9
0.98;0.14;0.42;1.4;-53.7;15.8
1.00;0.10;0.33;-6.4;-42.7;15.0
