0.98;0.11;0.32;-0.9;1.9;-1.7
1.00;0.12;0.32;-1.4;2.7;-0.9
1.06;0.13;0.31;-0.2;16.8;-7.7
1.23;0.23;0.28;-37.1;250.1;-132.4
0.02;0.15;0.91;-24.9;150.0;-35.1
-0.06;0.17;1.01;-12.8;80.0;-26.6
-0.16;0.19;0.96;-27.8;97.6;-32.5
-0.32;0.13;0.92;-14.9;47.8;-25.1
-0.32;0.11;0.91;-17.8;43.8;-12.8
-0.39;0.03;0.88;-12.7;27.9;-8.0
-0.46;0.00;0.88;-7.6;16.8;-4.2
-0.55;-0.03;0.85;4.9;-29.9;8.4
-0.64;-0.01;0.91;22.5;-172.3;57.7
0.05;0.07;0.87;3.8;-232.3;78.7
0.65;0.08;0.75;37.3;-212.4;58.2
0.96;0.12;0.52;16.2;-158.2;38.5
1.03;0.12;0.35;-0.6;-77.6;20.9
1.04;0.10;0.26;-1.3;-39.0;6.5
1.03;0.07;0.20;-2.0;-24.2;7.2
1.07;0.08;0.17;-5.5;7.0;1.1
