0.98;0.12;0.34;-4.8;2.6;1.4
0.98;0.11;0.35;-3.4;3.2;0.6
1.10;0.13;0.33;-4.8;10.6;2.9
0.96;0.15;0.46;-6.4;226.2;-71.1
0.23;0.23;0.89;-17.4;184.8;-56.0
-0.01;0.27;0.91;-21.8;138.4;-35.1
-0.11;0.18;0.98;-26.8;116.4;-35.9
-0.42;0.25;0.95;-45.0;121.8;-44.2
-0.52;0.09;0.84;-25.3;45.3;-19.2
-0.46;0.06;0.92;-10.1;12.8;-5.9
-0.52;0.05;0.87;1.2;-13.8;6.3
-0.42;0.09;0.90;18.2;-61.9;23.8
-0.20;0.13;0.97;20.8;-76.8;32.4
-0.00;0.10;0.94;18.0;-142.0;39.1
0.35;0.11;0.85;24.3;-180.3;48.7
0.68;0.04;0.77;14.0;-147.7;57.4
0.96;0.12;0.51;2.4;-125.4;38.5
1.06;0.13;0.37;-5.4;-42.6;12.0
0.97;0.06;0.39;-3.0;-16.2;7.9
1.01;0.05;0.34;-4.0;-10.0;5.0
