1.00;0.08;0.30;-3.6;2.4;-0.2
0.99;0.10;0.31;-3.1;1.8;0.2
0.99;0.09;0.31;-4.1;2.1;-0.7
1.09;0.09;0.30;-1.9;25.3;-5.3
1.14;0.17;0.37;4.6;227.4;-90.8
0.45;0.32;0.73;-14.1;178.2;-55.2
0.24;0.29;0.95;-30.8;134.8;-52.1
-0.12;0.13;0.97;-29.4;109.6;-34.6
-0.24;0.11;0.97;-22.5;70.3;-29.0
-0.40;0.06;0.93;-20.7;38.8;-18.0
-0.39;0.05;0.92;-9.8;22.2;-8.6
-0.42;0.06;0.91;-6.2;15.2;-3.4
-0.46;0.05;0.90;-0.6;-10.3;2.4
-0.42;0.07;0.90;13.8;-63.0;16.3
-0.19;0.15;1.03;9.7;-145.6;50.1
0.09;0.23;0.91;13.0;-159.4;24.8
0.46;0.23;0.81;19.5;-187.1;52.4
0.90;0.28;0.52;20.2;-152.1;42.7
1.07;0.18;0.35;-8.2;-70.3;25.5
0.96;0.11;0.35;-6.6;-25.3;8.4
