0.96;0.01;0.39;-3.4;2.6;0.2
0.96;0.02;0.40;-3.4;3.3;-0.5
0.95;0.02;0.40;-3.7;6.1;0.1
1.21;-0.06;0.41;10.3;231.1;-79.0
0.37;0.12;0.76;-2.1;250.1;-78.3
-0.15;0.13;0.94;-22.0;131.9;-35.0
-0.24;0.15;1.01;-19.5;76.4;-24.5
-0.40;0.10;0.97;-18.5;62.0;-20.5
-0.39;0.08;0.96;-13.7;38.2;-23.2
-0.55;0.02;0.90;-17.1;21.5;-10.0
-0.49;0.02;0.91;-9.4;10.6;-6.0
-0.51;0.03;0.90;-8.0;10.4;-3.1
-0.52;0.03;0.88;-5.6;-2.4;-0.4
-0.52;-0.07;0.90;21.8;-56.7;21.7
-0.39;0.20;1.03;-1.6;-94.4;40.7
-0.20;0.26;0.95;-11.0;-155.9;57.4
0.39;0.05;0.82;12.7;-210.3;35.8
0.79;0.09;0.77;2.7;-123.5;20.2
0.86;0.09;0.53;-2.7;-95.8;15.0
1.02;0.03;0.37;-5.0;-68.4;12.6
