0.93;0.11;0.46;-2.7;2.4;-0.5
0.94;0.11;0.46;-2.6;1.2;0.0
0.92;0.11;0.46;-3.2;2.0;0.5
0.93;0.11;0.45;-3.5;2.5;0.2
1.14;0.10;0.43;-0.9;48.3;-14.0
0.94;0.16;0.59;-65.1;250.1;-114.4
-0.13;0.10;0.83;-47.1;207.3;-50.8
0.04;0.14;0.89;-35.8;149.1;-71.5
-0.84;-0.18;0.85;-69.0;89.5;-35.2
-0.54;-0.21;0.73;5.1;-1.4;-1.8
-0.47;-0.14;0.84;10.4;-6.3;4.8
-0.66;-0.17;0.79;27.7;-41.2;16.6
-0.45;0.07;0.94;46.2;-153.0;53.7
-0.03;0.13;0.97;24.7;-137.0;47.5
0.17;0.16;0.96;26.0;-141.0;35.9
0.64;0.18;0.76;25.4;-140.8;18.8
0.88;0.22;0.64;13.5;-84.0;23.5
0.88;0.19;0.52;6.4;-63.8;20.4
1.00;0.12;0.42;0.8;-43.9;14.5
0.96;0.12;0.39;1.8;-13.9;6.2
