0.64;0.06;0.83;-3.0;1.9;-0.3
0.63;0.06;0.82;-5.1;2.5;0.1
0.62;0.06;0.82;-4.0;1.0;-2.7
0.56;0.28;0.87;-138.4;-18.8;-24.8
0.56;-0.17;0.70;-178.5;-9.9;2.5
0.77;-0.45;0.62;-99.2;15.0;-17.6
0.72;-0.54;0.56;-91.9;34.1;22.9
0.60;-0.63;0.50;-65.4;8.9;32.7
0.64;-0.72;0.44;-34.3;-0.0;15.2
0.59;-0.71;0.41;-10.3;2.5;4.2
0.58;-0.74;0.43;3.1;-4.2;-1.1
0.71;-0.80;0.47;67.2;27.1;4.6
0.53;-0.62;0.59;136.6;-13.8;46.3
0.59;-0.42;0.72;153.3;-14.3;-13.4
0.51;-0.20;0.82;74.5;-7.1;-14.2
0.57;-0.12;0.82;79.9;-27.1;-3.0
0.71;0.07;0.79;48.8;-31.7;6.1
0.70;0.13;0.78;14.2;-4.1;-3.5
0.69;0.11;0.80;-2.6;6.4;-0.5
0.65;0.11;0.79;-4.0;7.0;0.2
