0.71;-0.01;0.75;-4.8;2.0;0.5
0.72;-0.01;0.75;-7.9;3.5;1.3
0.75;0.09;0.74;-26.1;5.2;-6.1
0.79;-0.04;0.71;-156.8;54.3;-25.1
0.43;-0.55;0.56;-250.1;25.9;-42.9
0.59;-0.79;0.50;-76.2;24.1;-14.7
0.61;-0.80;0.41;-57.3;29.1;30.2
0.44;-0.82;0.39;-30.9;11.8;17.0
0.52;-0.87;0.34;-19.5;10.3;6.4
0.48;-0.84;0.33;-1.4;2.9;2.4
0.49;-0.84;0.36;18.9;-3.3;0.1
0.47;-0.85;0.44;88.1;-0.3;1.3
0.64;-0.58;0.50;122.2;-42.4;14.7
0.55;-0.46;0.66;138.2;-16.1;-26.8
0.69;-0.21;0.73;89.0;16.4;-32.1
0.52;-0.11;0.86;48.1;4.0;-10.1
0.65;-0.06;0.82;36.6;-25.9;10.2
0.62;-0.02;0.81;31.9;-25.4;4.8
0.70;-0.01;0.78;19.5;-14.1;3.6
0.71;0.03;0.78;8.5;-1.6;-1.1
