0.76;-0.03;0.72;-4.4;1.3;1.6
0.75;-0.03;0.72;-3.5;2.4;0.7
0.76;-0.04;0.72;-3.8;1.9;-0.2
0.75;-0.03;0.72;-4.4;1.5;-0.1
0.75;-0.03;0.72;-4.5;2.4;0.9
0.75;-0.03;0.73;-4.0;2.7;0.7
0.85;0.13;0.72;-73.6;33.8;-15.8
0.73;-0.06;0.64;-233.8;73.4;10.8
0.63;-0.71;0.47;-187.4;91.5;-11.3
0.56;-0.82;0.38;-83.6;18.0;32.8
0.45;-0.94;0.34;-51.2;25.1;27.7
0.38;-0.90;0.31;-32.8;22.5;26.8
0.26;-0.96;0.28;12.2;-4.5;-0.9
0.35;-1.00;0.37;53.0;4.9;-1.0
0.16;-0.88;0.48;143.0;-60.6;20.9
0.29;-0.74;0.69;58.6;-51.1;50.6
0.34;-0.65;0.74;134.3;-37.6;-11.9
0.46;-0.23;0.80;101.4;-43.3;-15.4
0.59;-0.19;0.83;51.5;-17.6;-5.0
0.57;-0.12;0.86;21.9;4.9;0.7
