0.67;0.05;0.79;-13.9;2.2;0.3
0.66;0.03;0.79;-9.0;4.4;-0.5
0.67;0.08;0.81;-21.6;2.8;-2.9
0.70;-0.15;0.75;-202.6;26.1;-14.7
0.60;-0.74;0.58;-141.5;25.1;-32.0
0.71;-0.60;0.50;-61.5;20.5;-0.7
0.67;-0.66;0.46;-43.4;10.4;35.1
0.55;-0.74;0.43;-34.1;45.4;18.8
0.49;-0.79;0.41;-17.5;15.4;0.5
0.50;-0.82;0.40;7.7;1.6;1.9
0.54;-0.82;0.45;67.4;33.5;-1.0
0.45;-0.62;0.56;129.4;-33.6;41.5
0.31;-0.64;0.79;108.1;3.9;30.0
0.35;-0.48;0.79;145.7;-71.9;-20.4
0.54;-0.10;0.86;86.5;-41.7;-6.1
0.62;0.00;0.84;38.1;-25.3;3.4
0.58;0.03;0.86;12.6;1.9;-8.2
0.57;0.03;0.86;2.4;1.1;-8.1
0.56;0.05;0.86;5.8;2.4;-4.6
0.57;0.06;0.85;0.9;0.4;-1.5
