0.66;-0.09;0.80;-3.3;2.7;-0.5
0.64;-0.08;0.80;-5.1;2.3;0.6
0.70;-0.01;0.79;-24.9;8.1;-9.6
0.71;-0.17;0.74;-136.4;48.6;-43.0
0.51;-0.38;0.72;-140.4;38.1;-4.0
0.55;-0.65;0.60;-127.4;22.3;-49.8
0.46;-0.76;0.55;-91.2;57.7;23.4
0.41;-0.90;0.39;-52.6;4.8;12.6
0.40;-0.92;0.35;-21.5;13.2;6.6
0.34;-0.89;0.37;0.9;-3.0;-1.1
0.34;-0.89;0.38;5.0;-8.7;-0.2
0.37;-0.95;0.41;65.4;2.6;-7.8
0.25;-0.81;0.55;121.6;-72.4;18.9
0.62;-0.59;0.65;99.3;-45.0;14.1
0.44;-0.56;0.74;94.2;-19.8;3.2
0.54;-0.46;0.80;84.8;-38.7;-2.8
0.60;-0.16;0.81;84.4;-34.3;-4.0
0.65;-0.04;0.79;41.4;-25.0;7.1
0.69;0.02;0.79;13.1;-3.2;-2.6
0.67;0.04;0.78;-0.8;8.1;-1.9
