0.63;0.03;0.83;-3.6;2.3;-0.0
0.61;0.03;0.83;-3.7;1.3;0.6
0.63;0.03;0.83;-4.0;1.1;-0.5
0.64;0.02;0.84;-4.1;1.6;-0.2
0.62;0.03;0.83;-3.4;1.1;0.1
0.88;0.00;-0.22;87.3;-250.1;82.0
1.13;0.02;0.05;-3.3;-84.2;-29.7
1.09;-0.08;-0.05;1.5;-30.6;-7.7
1.06;-0.07;-0.12;3.6;-4.9;-0.3
1.02;-0.01;-0.13;-2.3;1.1;-4.1
1.08;-0.03;-0.12;-7.2;20.4;3.3
1.20;0.02;0.04;-14.9;121.5;-8.4
1.01;-0.02;0.27;-24.5;181.7;-24.9
0.71;0.03;0.60;-25.9;121.6;-19.2
0.61;0.03;0.76;-20.5;93.0;-17.2
0.49;0.00;0.86;-14.1;45.8;-4.7
0.53;-0.00;0.89;1.1;-2.7;-1.3
0.59;0.03;0.89;2.5;-0.9;-3.5
0.50;0.06;0.90;-4.8;9.5;-2.2
0.54;0.05;0.90;-2.9;7.4;-3.9
