0.60;-0.02;0.86;-3.2;1.3;0.5
0.60;-0.01;0.85;-4.0;1.5;0.5
0.61;-0.03;0.85;-3.4;-1.2;0.8
0.61;0.01;0.79;0.7;-47.1;9.4
0.67;-0.05;0.57;-6.7;-154.2;44.1
1.01;-0.17;0.33;-2.8;-139.8;34.6
1.08;-0.22;0.13;53.5;-109.5;39.7
1.11;-0.16;-0.00;24.3;-63.0;2.3
1.02;-0.17;-0.11;-3.7;-29.5;-9.5
1.06;-0.17;-0.16;-4.9;-5.8;-2.0
0.98;-0.17;-0.14;-3.9;2.0;0.5
1.18;-0.12;-0.08;-5.4;42.7;0.3
1.14;-0.15;0.10;-19.9;178.1;-16.8
0.85;-0.10;0.40;-31.4;182.0;-41.8
0.77;-0.04;0.69;-33.7;149.9;-37.8
0.39;-0.05;0.86;-34.6;92.1;-32.3
0.40;-0.07;0.94;-13.0;31.7;-1.3
0.37;-0.05;0.97;-5.1;20.5;-3.8
0.41;-0.05;0.94;3.0;1.6;-1.2
0.38;-0.01;0.96;2.2;0.4;-1.0
