0.71;0.08;0.75;-4.0;4.4;0.2
0.70;0.07;0.77;-3.9;4.4;-0.2
0.70;0.08;0.75;-4.3;1.1;-0.0
0.72;0.07;0.76;-3.9;0.2;0.8
0.71;0.08;0.75;-3.1;1.8;0.3
0.71;0.07;0.75;-3.9;1.8;0.1
0.71;0.08;0.76;-4.2;0.3;0.3
0.72;0.07;0.75;-4.2;1.7;0.4
0.74;0.07;0.76;-5.4;3.7;6.0
0.56;0.01;0.74;0.2;-32.2;24.5
0.93;-0.03;0.52;-9.1;-139.7;19.3
1.13;-0.11;0.34;-17.7;-121.3;21.3
1.04;-0.21;0.10;11.3;-95.2;21.7
1.08;-0.13;-0.03;10.6;-51.9;-14.0
1.07;-0.15;-0.11;-7.5;-10.5;-10.7
1.01;-0.18;-0.10;-5.7;-1.1;-0.6
1.01;-0.19;-0.12;-3.1;-1.3;-1.7
1.03;-0.14;-0.11;-8.0;9.6;-4.9
1.22;-0.06;0.01;-21.0;96.0;-23.5
1.13;-0.05;0.20;-7.3;121.0;-22.8
