0.54;0.04;0.88;-3.7;1.4;0.3
0.54;0.03;0.88;-4.5;1.6;0.5
0.53;0.02;0.88;-3.1;1.5;1.0
0.34;-0.06;0.85;24.4;-109.8;62.5
0.86;-0.01;0.34;8.4;-250.1;91.1
1.40;-0.12;0.10;17.8;-131.3;24.1
1.09;-0.15;-0.07;3.8;-28.5;0.1
1.04;-0.16;-0.12;-3.8;-14.1;-4.0
1.01;-0.14;-0.15;-2.4;-3.6;-1.4
1.02;-0.15;-0.13;-5.2;2.8;-0.8
1.11;-0.07;-0.11;-10.0;22.9;-9.7
1.05;-0.11;-0.04;-20.9;119.9;-21.5
1.07;-0.09;0.20;-38.1;95.3;-6.4
1.01;-0.08;0.37;-12.5;155.9;-34.9
0.79;-0.02;0.64;-17.0;139.6;-30.4
0.50;0.01;0.81;-24.4;93.0;-20.5
0.41;-0.06;0.90;-14.1;18.3;-4.3
0.52;-0.05;0.89;0.5;-17.4;4.7
0.60;-0.01;0.89;3.3;-8.5;1.0
0.63;-0.00;0.85;0.5;-5.5;2.8
