0.67;0.04;0.80;-5.4;-0.3;0.7
0.68;0.02;0.78;-4.4;-1.9;1.7
0.69;0.04;0.78;-3.5;-0.7;1.2
0.57;0.00;0.76;0.3;-56.9;18.0
0.84;-0.03;0.30;-30.2;-242.4;66.4
1.23;-0.27;0.07;22.0;-124.2;48.3
1.08;-0.16;-0.13;22.6;-64.9;-6.5
1.06;-0.12;-0.16;5.0;-18.0;-9.2
1.01;-0.17;-0.18;-6.7;1.4;0.4
1.00;-0.16;-0.20;-4.5;2.5;-0.1
1.00;-0.15;-0.18;-2.5;2.7;1.4
1.06;-0.10;-0.16;-7.0;19.4;-9.7
1.15;-0.05;-0.06;-26.9;102.1;-50.0
1.08;-0.03;0.12;6.3;165.5;-36.9
0.84;0.04;0.42;-11.6;108.3;1.0
0.77;0.04;0.60;-7.9;42.8;1.4
0.81;0.04;0.69;-6.1;32.7;-9.7
0.73;0.07;0.73;-8.0;38.6;-13.7
0.65;0.08;0.80;-10.4;30.7;-10.2
0.61;0.07;0.81;-5.2;5.5;-3.0
