0.78;-0.03;0.69;-4.8;-0.3;0.2
0.76;-0.04;0.69;-4.0;0.5;0.4
0.77;-0.02;0.70;-4.0;-0.4;0.8
0.78;-0.03;0.70;-5.3;-1.2;1.0
0.78;-0.05;0.68;-6.2;0.1;0.8
0.70;-0.02;0.36;24.0;-250.1;55.2
1.17;-0.18;0.01;18.6;-210.9;-5.3
1.13;-0.16;-0.19;-8.5;-27.0;-13.8
0.98;-0.15;-0.17;0.9;-11.2;4.4
1.01;-0.14;-0.24;-0.9;-2.3;4.5
1.00;-0.14;-0.23;-1.1;1.0;3.3
1.03;-0.15;-0.22;-2.8;5.4;3.9
1.16;-0.10;-0.13;-8.9;72.9;5.7
1.04;-0.17;-0.01;7.5;72.0;-21.4
1.04;-0.08;0.20;19.6;119.4;-23.2
1.00;-0.00;0.41;-1.7;112.3;-25.4
0.78;0.01;0.57;-17.7;84.8;-27.1
0.70;-0.02;0.66;-6.6;21.0;-11.4
0.80;0.03;0.67;-2.3;-4.5;1.4
0.80;0.05;0.65;-7.4;2.1;1.2
