0.81;0.02;0.64;-3.1;1.0;1.7
0.82;0.03;0.65;-4.2;1.7;0.6
0.81;0.01;0.64;-3.9;1.5;1.1
0.81;0.02;0.64;-3.7;1.8;1.1
0.81;0.02;0.65;-4.6;0.1;0.7
0.81;0.01;0.64;-3.8;-0.8;0.9
0.69;-0.03;0.61;6.6;-61.1;23.3
0.91;-0.08;0.11;0.2;-250.1;74.4
1.20;-0.09;-0.07;24.0;-83.2;15.7
1.09;-0.13;-0.19;5.3;-35.9;-10.7
0.99;-0.12;-0.25;-3.9;-15.3;-0.7
0.99;-0.12;-0.25;-4.6;2.2;4.2
1.01;-0.13;-0.25;-0.8;0.5;2.8
0.98;-0.11;-0.25;-5.6;4.7;-2.8
1.06;-0.09;-0.21;-7.9;27.3;-0.9
1.06;-0.05;-0.15;-26.4;35.9;-2.4
1.15;-0.07;-0.04;-21.0;59.5;12.6
1.10;-0.13;0.14;7.6;120.6;1.9
0.93;-0.04;0.33;18.7;116.5;-23.1
0.75;0.01;0.55;-5.1;88.4;0.1
