0.77;0.04;0.71;-3.8;-0.8;1.5
0.77;0.04;0.70;-4.3;0.1;1.2
0.76;0.03;0.69;-6.4;-3.7;3.3
0.65;-0.04;0.47;0.6;-199.7;104.5
1.18;-0.16;0.25;-37.6;-119.2;27.7
0.95;-0.30;0.06;12.6;-73.2;9.8
1.10;-0.12;-0.06;26.5;-67.5;-8.2
1.07;-0.16;-0.17;8.7;-22.5;-4.2
0.99;-0.15;-0.17;-3.0;-3.9;2.1
1.01;-0.15;-0.19;-4.0;4.1;0.4
1.01;-0.15;-0.17;-3.4;5.6;-0.3
1.10;-0.09;-0.13;0.0;45.9;-3.1
1.13;-0.08;0.00;-35.6;85.8;-49.1
1.10;-0.05;0.19;11.9;140.3;-2.8
0.90;-0.03;0.46;2.9;76.4;-8.1
0.92;0.04;0.58;0.1;77.5;-22.4
0.67;0.05;0.69;-15.8;66.7;-13.9
0.61;0.02;0.79;-14.3;42.3;-6.0
0.52;0.02;0.83;-8.5;6.9;-3.9
0.63;0.02;0.82;-1.4;-13.8;3.0
