0.70;-0.20;0.75;-2.7;1.1;0.4
0.71;-0.19;0.73;-1.8;2.1;-0.1
0.70;-0.19;0.73;0.6;1.0;2.2
0.68;-0.28;0.76;87.3;19.8;2.5
0.56;0.02;0.73;170.9;-10.6;-90.2
0.76;0.60;0.57;150.5;15.6;-86.0
0.57;0.71;0.51;77.5;52.4;-42.2
0.39;0.78;0.51;52.7;50.8;-31.9
0.30;0.88;0.46;53.7;34.0;-40.0
0.34;0.91;0.37;26.9;4.1;-22.2
0.24;0.95;0.35;-1.3;-4.7;-2.4
0.21;0.94;0.37;-5.7;-0.1;1.4
0.21;1.01;0.43;-37.8;-12.8;8.9
0.34;0.85;0.48;-169.8;-66.2;16.0
0.45;0.52;0.72;-121.2;12.6;61.2
0.50;0.36;0.84;-76.5;-12.4;30.6
0.52;0.21;0.85;-51.8;-12.5;18.8
0.57;0.16;0.85;-45.2;-17.5;12.3
0.59;0.05;0.84;-42.9;-22.0;11.3
0.59;-0.01;0.82;-42.9;-22.5;10.3
