0.64;0.53;0.56;39.0;-5.7;-9.1
0.70;0.58;0.53;29.0;-6.7;-7.1
0.68;0.63;0.49;2.7;-9.0;-2.7
0.71;0.61;0.48;0.4;-1.5;-1.4
0.71;0.60;0.47;-9.3;-0.6;-0.5
0.69;0.62;0.47;-2.3;2.4;-1.0
0.79;0.72;0.52;-46.6;14.5;-6.7
0.61;0.47;0.62;-173.4;16.4;6.6
0.69;0.16;0.70;-134.2;-4.6;12.4
0.67;0.04;0.76;-92.1;-5.1;24.1
0.69;-0.13;0.74;-57.4;-9.1;24.2
0.71;-0.21;0.72;-41.0;-7.6;11.8
0.73;-0.29;0.69;-15.8;-3.0;3.5
0.72;-0.27;0.70;-2.5;2.9;-1.0
0.72;-0.25;0.70;-1.9;0.5;-2.1
0.71;-0.25;0.71;-2.5;1.6;1.1
0.72;-0.24;0.69;-3.5;1.7;-1.1
0.71;-0.24;0.71;-3.7;0.8;0.4
0.72;-0.26;0.70;-2.3;0.8;0.7
0.72;-0.25;0.71;-3.4;0.5;-0.0
