0.64;-0.11;0.81;-1.3;2.4;-0.0
0.62;-0.12;0.79;11.4;1.1;-2.2
0.62;-0.04;0.82;77.0;-1.5;-17.8
0.60;0.15;0.76;106.4;0.2;-43.7
0.63;0.43;0.66;131.3;5.1;-50.4
0.63;0.70;0.57;104.0;51.2;-30.1
0.37;0.84;0.53;46.5;46.3;-32.3
0.33;0.87;0.51;21.8;16.3;-16.3
0.35;0.83;0.47;9.3;5.8;-7.3
0.33;0.87;0.46;-1.2;-3.5;-1.6
0.31;0.86;0.46;-6.2;1.1;-0.6
0.34;0.88;0.48;-17.3;0.9;2.5
0.28;0.93;0.56;-78.9;-12.4;-1.5
0.39;0.70;0.65;-100.1;-19.0;19.2
0.43;0.53;0.74;-69.0;-5.9;27.7
0.45;0.45;0.81;-52.4;-10.6;13.2
0.49;0.38;0.84;-51.5;-7.8;12.9
0.52;0.26;0.86;-42.1;-6.3;10.4
0.53;0.19;0.87;-35.7;-9.5;14.2
0.57;0.15;0.86;-23.3;-9.1;7.9
