0.72;-0.01;0.77;133.7;14.0;-4.8
0.71;0.23;0.74;92.8;4.1;-5.9
0.72;0.31;0.69;56.2;3.5;4.8
0.70;0.34;0.66;44.5;-2.5;2.4
0.73;0.43;0.61;56.4;-5.5;-4.1
0.71;0.48;0.56;56.6;14.6;7.4
0.71;0.61;0.51;46.1;9.0;-2.2
0.70;0.63;0.48;12.2;-2.2;2.4
0.71;0.60;0.46;0.6;-5.9;2.3
0.72;0.62;0.45;-1.1;1.4;0.7
0.71;0.62;0.44;-2.2;-1.4;-0.2
0.72;0.59;0.44;-3.3;0.6;-0.6
0.72;0.61;0.45;-7.2;2.4;-2.2
0.70;0.68;0.53;-111.2;3.5;-25.3
0.70;0.51;0.62;-135.3;23.4;-2.5
0.66;0.29;0.75;-95.8;17.0;17.2
0.64;0.17;0.79;-73.3;7.6;8.7
0.62;0.04;0.81;-62.8;7.3;19.2
0.61;-0.13;0.80;-62.9;7.5;10.8
0.62;-0.22;0.79;-52.5;-3.4;12.1
