0.71;-0.17;0.75;-2.2;1.7;0.1
0.71;-0.19;0.74;-3.6;-0.1;-0.2
0.70;-0.18;0.74;-3.6;-0.0;1.6
0.69;-0.25;0.69;167.8;-15.0;1.7
0.77;0.22;0.59;155.5;-53.6;10.9
0.94;0.51;0.52;101.7;17.0;5.6
0.77;0.57;0.51;45.5;10.6;-14.8
0.78;0.57;0.46;12.3;7.1;-4.4
0.74;0.58;0.45;-1.1;4.5;-1.8
0.76;0.55;0.46;-3.5;2.7;-1.7
0.76;0.57;0.44;-6.3;-1.4;0.5
0.77;0.59;0.45;-3.1;2.1;-3.4
0.73;0.70;0.59;-156.1;-4.1;14.3
0.78;0.39;0.65;-147.3;29.0;18.4
0.66;0.02;0.62;-119.2;49.9;30.8
0.64;-0.11;0.74;-63.7;-12.9;10.7
0.75;-0.18;0.71;-46.4;-20.6;9.2
0.77;-0.25;0.66;-22.9;2.0;14.5
0.72;-0.31;0.68;-11.1;6.3;9.5
0.73;-0.28;0.69;-4.6;6.4;-0.6
