0.67;-0.33;0.72;3.1;2.7;-0.4
0.71;-0.33;0.77;114.0;17.1;39.2
0.58;-0.24;0.81;113.2;2.4;-6.8
0.66;0.21;0.73;146.4;-27.6;-38.9
0.70;0.42;0.64;92.2;-9.7;14.0
0.79;0.43;0.56;85.6;18.7;32.6
0.72;0.54;0.54;46.8;13.5;2.7
0.75;0.53;0.51;35.5;6.3;10.0
0.75;0.54;0.49;13.0;-3.7;0.7
0.76;0.55;0.47;-4.4;-0.2;-0.6
0.76;0.55;0.48;-14.9;5.2;-1.0
0.71;0.51;0.56;-141.6;1.6;-28.8
0.71;0.34;0.66;-162.1;8.3;-13.6
0.65;0.03;0.75;-127.7;18.9;10.8
0.65;-0.15;0.75;-68.1;3.1;-6.2
0.69;-0.19;0.75;-49.4;8.1;-10.8
0.68;-0.28;0.73;-44.2;6.8;2.1
0.66;-0.33;0.72;-21.9;1.6;7.4
0.64;-0.37;0.72;-11.6;4.5;-0.6
0.66;-0.35;0.73;-3.6;1.2;-1.8
