0.61;0.66;0.53;56.0;31.9;-17.5
0.58;0.72;0.49;49.3;21.4;-8.6
0.56;0.74;0.45;28.3;16.0;-1.4
0.58;0.75;0.44;-10.5;0.5;-3.9
0.57;0.74;0.44;-8.2;-0.5;-2.5
0.56;0.76;0.46;-16.2;-1.2;-3.5
0.63;0.79;0.51;-65.2;12.9;-5.7
0.58;0.71;0.62;-100.6;-4.5;8.4
0.61;0.50;0.71;-107.5;-9.0;30.7
0.61;0.25;0.76;-94.0;-18.7;26.5
0.63;0.03;0.76;-70.0;-13.7;28.3
0.67;-0.03;0.77;-38.5;-5.6;16.9
0.71;-0.06;0.76;-28.6;-3.8;10.3
0.71;-0.10;0.76;-22.3;-5.3;5.7
0.71;-0.14;0.74;-16.8;-5.7;2.1
0.72;-0.16;0.72;-12.5;-4.0;-0.6
0.72;-0.18;0.72;-3.8;0.2;0.4
0.73;-0.16;0.72;-5.2;0.9;1.2
0.73;-0.16;0.72;-4.4;1.2;1.7
0.73;-0.17;0.71;-3.4;1.2;0.1
